year,low_income,lower_middle_income,upper_middle_income,high_income,indicator_name
1990,0.06212975308641975,0,0,0,Proporción de la población que usa internet (%)
1991,0.4041707407407407,0,0,0.002815275,Proporción de la población que usa internet (%)
1992,0.5843142058823529,0,5.55e-5,0.0078604,Proporción de la población que usa internet (%)
1993,0.7101295238095238,0,3.98e-4,0.019206142857142856,Proporción de la población que usa internet (%)
1994,1.2178926530612244,0,0.0045298,0.03135164,Proporción de la población que usa internet (%)
1995,2.0306338095238097,0.0013422222222222223,0.0161866,0.08293235128205129,Proporción de la población que usa internet (%)
1996,3.360050704225352,0.004117611111111111,0.043258361111111115,0.2131597727272727,Proporción de la población que usa internet (%)
1997,5.968240845070422,0.019375608695652174,0.123099025,0.40162444444444445,Proporción de la población que usa internet (%)
1998,9.59705633802817,0.04161882608695652,0.27286222222222223,0.8992565217391304,Proporción de la población que usa internet (%)
1999,14.46575,0.1062,0.4960260833333333,1.504530612244898,Proporción de la población que usa internet (%)
2000,20.55661527027027,0.15747847434782608,0.9587512127659574,2.76567938,Proporción de la población que usa internet (%)
2001,25.145904324324324,0.21969619875,1.3033567648367348,3.7102052800000003,Proporción de la población que usa internet (%)
2002,31.263293066666666,0.41581022500000003,1.76776158588,5.934588254901961,Proporción de la población que usa internet (%)
2003,36.027013513513516,0.600401052173913,2.5288620591836737,7.358647808510638,Proporción de la población que usa internet (%)
2004,40.45035067567568,0.8199810086956522,3.5856655979591836,9.78134368,Proporción de la población que usa internet (%)
2005,44.160579733333336,1.1253074545454544,4.448724534,11.525703862745099,Proporción de la población que usa internet (%)
2006,48.416880266666666,1.48587465,5.43616636,13.544061807692307,Proporción de la población que usa internet (%)
2007,53.00302533333333,2.190060375,6.62004966,15.883106415094339,Proporción de la población que usa internet (%)
2008,57.214904,2.4207643478260867,8.018239591836736,18.74853716981132,Proporción de la población que usa internet (%)
2009,60.72110133333333,3.171038695652174,9.565510204081633,22.285094339622642,Proporción de la población que usa internet (%)
2010,63.87594133333333,3.9213636363636364,12.083877551020407,26.249811320754716,Proporción de la población que usa internet (%)
2011,66.6194025974026,4.292926086956522,13.99340857142857,30.256516981132076,Proporción de la población que usa internet (%)
2012,70.174628,4.92480347826087,16.062422448979593,34.33786037735849,Proporción de la población que usa internet (%)
2013,73.43504657534247,5.70714,18.300408163265306,38.14254150943396,Proporción de la población que usa internet (%)
2014,75.71854383561644,6.709929130434783,21.349358,42.89556037735849,Proporción de la población que usa internet (%)
2015,77.60842739726027,7.9071104347826084,24.6651304,47.20257115384615,Proporción de la población que usa internet (%)
2016,80.15936666666667,10.240230833333333,28.462062200000002,51.31606923076923,Proporción de la población que usa internet (%)
2017,81.62252467532467,12.013514347826087,32.6804214,55.92085283018868,Proporción de la población que usa internet (%)
2018,83.76188032786885,14.0408045,38.28114,61.455938775510205,Proporción de la población que usa internet (%)
2019,85.53246666666666,16.31688619047619,41.46448541666667,65.21316,Proporción de la población que usa internet (%)
2020,87.93150923076924,17.410048181818183,46.647221276595744,70.56761960784314,Proporción de la población que usa internet (%)
2021,89.92364923076923,20.221444444444444,52.069722222222225,75.01516538461539,Proporción de la población que usa internet (%)
2022,90.97270153846154,22.83007894736842,54.13476739130435,77.02861923076924,Proporción de la población que usa internet (%)
